"y","lag.1","lag.2","lag.3","lag.4","lag.5","lag.6","lag.7","lag.8","lag.9","lag.10","lag.11","lag.12","lag.13","lag.14","lag.15","lag.16","lag.17","lag.18","lag.19","lag.20","lag.21","lag.22","lag.23","lag.24","lag.25","lag.26","lag.27","lag.28","lag.29","lag.30"
12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18,2.01,6.66,9,13.17,13.3,17.49,9,10.01,50.52
11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18,2.01,6.66,9,13.17,13.3,17.49,9,10.01
10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18,2.01,6.66,9,13.17,13.3,17.49,9
15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18,2.01,6.66,9,13.17,13.3,17.49
28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18,2.01,6.66,9,13.17,13.3
9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18,2.01,6.66,9,13.17
118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18,2.01,6.66,9
90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18,2.01,6.66
26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18,2.01
12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24,5.18
5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73,28.24
44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6,41.73
113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14,11.6
177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61,15.14
6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22,65.61
20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25,15.22
42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42,20.25
63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69,15.42
5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72,68.69
68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63,195.72
9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16,22.63
17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34,16
62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25,13.34
70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19,4.25
160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74,9.19
22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26,30.74
27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6,54.26
36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98,42.6
2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52,14.98
40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5,12.52
146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64,12.5
10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26,11.64
10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48,10.26
10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18,15.48
5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07,28.18
10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24,9.07
11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75,118.24
42.26,11.06,10,5,10.8,10.01,10.66,146.02,40.02,2.67,36.17,27.45,22.6,160.83,70.75,62.92,17.47,9.67,68.86,5.39,63.28,42.17,20.92,6.19,177.47,113.94,44.27,5.42,12.93,26.25,90.75
