"y","lag.1","lag.2","lag.3","lag.4","lag.5","lag.6","lag.7","lag.8","lag.9","lag.10","lag.11","lag.12","lag.13","lag.14","lag.15","lag.16","lag.17","lag.18","lag.19","lag.20","lag.21","lag.22","lag.23","lag.24","lag.25","lag.26","lag.27","lag.28","lag.29","lag.30"
10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49,0,0,23.83,11.25,0,0,5.43,0,0
9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49,0,0,23.83,11.25,0,0,5.43,0
0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49,0,0,23.83,11.25,0,0,5.43
17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49,0,0,23.83,11.25,0,0
0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49,0,0,23.83,11.25,0
0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49,0,0,23.83,11.25
0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49,0,0,23.83
0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49,0,0
13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49,0
0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0,15.49
0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0,0
13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37,0
0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0,14.37
0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0,0
0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0,0
9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0,0
0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07,0
0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0,7.07
0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1,0
6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0,16.1
0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0,0
0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0,0
